Time,Y&M,Year,week,Y&W,Yellow Cab,Uber,Via,Lyft,Juno
Jan-15,20151,2015,5,20155,13633,9639,0,0,0
Feb-15,20152,2015,9,20159,13617,10828,0,0,0
Mar-15,20153,2015,14,201514,13584,11876,280,1501,0
Apr-15,20154,2015,18,201518,13577,12750,381,1831,0
May-15,20155,2015,23,201523,13580,14738,430,2104,0
Jun-15,20156,2015,27,201527,13549,19142,489,2400,0
Jul-15,20157,2015,31,201531,13490,18519,635,3079,0
Sep-15,20159,2015,40,201540,13423,21664,593,4573,0
Oct-15,201510,2015,44,201544,13436,23188,706,5352,0
Nov-15,201511,2015,49,201549,13428,25364,724,5645,0
Jan-16,20161,2016,6,20166,13347,27126,838,7574,0
Feb-16,20162,2016,10,201610,13339,26607,840,6988,21
Mar-16,20163,2016,14,201614,13379,26738,974,7738,71
Apr-16,20164,2016,18,201618,13370,26983,1072,8775,1474
May-16,20165,2016,23,201623,13381,28573,989,11005,4773
Jun-16,20166,2016,27,201627,13354,32669,1057,10639,6707
Jul-16,20167,2016,32,201632,13293,31606,1180,9888,7356
Aug-16,20168,2016,36,201636,13203,35501,1280,11258,8750
Sep-16,20169,2016,40,201640,13166,37629,1580,11010,9718
Oct-16,201610,2016,45,201645,13198,40425,1879,11679,11299
Nov-16,201611,2016,49,201649,13159,40271,1944,13044,11391
Jan-17,20171,2017,5,20175,13058,42220,2096,16491,12327
Feb-17,20172,2017,9,20179,12967,43386,1968,17042,12333
Mar-17,20173,2017,13,201713,12990,43978,2085,17486,13060
Apr-17,20174,2017,18,201718,12981,46319,2674,18337,13293
May-17,20175,2017,22,201722,12977,49480,2289,20324,12846
Jun-17,20176,2017,26,201726,12894,50020,2892,20153,12080
Jul-17,20177,2017,31,201731,12792,51126,3129,22207,14312
Aug-17,20178,2017,35,201735,12690,45180,3091,23473,14608
Sep-17,20179,2017,39,201739,12656,53610,3459,26134,16089
